ISBN,title,series,authors
9789792250589,Kilau Bintang Menerangi Bumi 1,,['Sidney Sheldon']
9781412971676,Applied Thematic Analysis,,"['Greg Guest', 'Kathleen Macqueen', 'Emily E. Namey']"
9789791275330,Muhammad: Kisah Hidup Nabi Berdasarkan Sumber Klasik,,"['Martin Lings', 'Qamaruddin SF']"
9781409350156,The Science Book (Big Ideas Simply Explained),,"['Rob Colson', 'Camilla Hallinan', 'David John', 'John Farndon', 'Adam Hart-Davis', 'Giles Sparrow', 'Dan Green', 'Derek Harvey', 'Penny Johnson', 'Douglas Palmer', 'Steve Parker', 'James Graham', 'Peter Liddiard']"
9781471178252,The Irrational Ape: Why Flawed Logic Puts us all at Risk and How Critical Thinking Can Save the World,,['David Robert Grimes']
9780316679077,The Tipping Point: How Little Things Can Make a Big Difference,,['Malcolm Gladwell']
9789792243161,The Road - Jalan,,"['Cormac McCarthy', 'Sonya Sondakh']"
9780670033027,England's Thousand Best Houses,,"['Simon Jenkins', 'Quintin Wright']"
9780199588053,Social Research Methods,,['Alan Bryman']
9780141003146,Logic: An Introduction to Elementary Logic,,['Wilfrid Hodges']
9781534496392,Chain of Iron,The Last Hours #2,['Cassandra Clare']
9789791238670,Satu Tiket Ke Surga,,['Zabrina A. Bakar']
9786020011813,Dua Tangis dan Ribuan Tawa,,['Dahlan Iskan']
9789792439328,Burung Kolibri Merah Dadu,,['Kurnia Effendi']
9789792439366,The Naked Traveler,Naked Traveler #1,"['Trinity', 'Bendung']"
9781782490913,Hand-Crafted Cards: 50 step-by-step projects for every celebration,,['Emma Hardy']
9786025350382,Belajar Mencintai Kambing: Kumpulan Cerpen,,['Mahfud Ikhwan']
9781906438722,Top Tips for IELTS Academic,Top Tips for IELTS,"['Margaret Matthews', ""Felicity O'Dell"", 'Michael Black', 'Carole Allsop', 'Sandra Lockwood']"
9780517884539,"How to Talk to Anyone, Anytime, Anywhere: The Secrets of Good Communication",,"['Larry King', 'Bill Gilbert']"
9789798926327,Flavors of Indonesia: William Wongso's Culinary Wonders,,['William W. Wongso']
9786022912002,The Seven Good Years,,"['Etgar Keret', 'Ade Kumalasari', 'Eka Kurniawan']"
9789792246841,Dua Ibu,,['Arswendo Atmowiloto']
9780307744661,Norwegian Wood,,"['Haruki Murakami', 'Jay Rubin']"
9780807046579,The Only Woman in the Room: Why Science Is Still a Boys' Club,,['Eileen Pollack']
9780749259747,The Good Study Guide,,['Andrew Northedge']
9780061956270,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Freakonomics,"['Steven D. Levitt', 'Stephen J. Dubner']"
9780804171588,Crazy Rich Asians,Crazy Rich Asians #1,['Kevin Kwan']
9780071151443,Principles Of Corporate Finance,,"['Richard A. Brealey', 'Stewart C. Myers', 'Ricki C. Lewis']"
9781438004709,"Scissors, Paper, Craft: 30 Pretty Projects All Cut, Folded, and Crafted from Paper",,['Christine Leech']
9780753404355,The Kingfisher Science Encyclopedia,,"['Kingfisher Books', 'Charles Taylor']"
9781447220718,The ship of adventure,Adventure #6,['Enid Blyton']
9789792298406,Sang Alkemis,,"['Paulo Coelho', 'Tanti Lesmana']"
9780199233410,A Dictionary of Zoology,,['Michael Allaby']
9786022080336,"Trust No One, Suspect Everyone!: My Stupid Boss 4",My Stupid Boss #4,['Chaos@work']
9789792704051,Quantum Ikhlas,,['Erbe Sentanu']
9789792438703,The Naked Traveler 2,Naked Traveler #2,['Trinity']
9780141033570,"Thinking, Fast and Slow",,['Daniel Kahneman']
9786024122911,#CURHATSTAF: Seni Mendengarkan bagi Para Pemimpin,,['Josef Bataona']
9780552174992,God: A Human History,,['Reza Aslan']
9789794030462,Robohnya Surau Kami,,['A.A. Navis']
9780756692681,Help Your Kids with Science,,['Carron Brown']
9780349142630,Fifty Things that Made the Modern Economy,,['Tim Harford']
9786024120566,Inspirasi Kebangsaan dari Ruang Kelas,,['St. Sularto']
9786021318638,Mereka Sibuk Menghitung Langkah Ayam: Sehimpun Reportase,,['Rusdi Mathari']
9786239073909,Sekolah Dibubarkan Saja!,,['Afdillah Chudiel']
9789792263251,Ranah 3 Warna,Negeri 5 Menara #2,['Ahmad Fuadi']
9786021318690,Lambe Akrobat: Kisah Geng Koplo dan Keluarga Hansip,,['Agus Mulyadi']
9789792238464,divortiare,,['Ika Natassa']
9781782744849,Bushido: The Soul of Japan – The Code of the Samurai,,['Inazō Nitobe']
9781839403705,The Blue Castle,,['L.M. Montgomery']
9781398505247,Aristotle and Dante Discover the Secrets of the Universe,Aristotle and Dante #1,['Benjamin Alire Sáenz']
